Feature ID	Test stat.	pval	pval_fdr	pval_bon
D_0__Archaea;D_1__Miscellaneous Crenarchaeotic Group	-0.16832189	0.014967772	0.997307204	1
D_0__Archaea;D_1__Aenigmarchaeota	0.142359863	0.040148049	0.997307204	1
D_0__Bacteria;D_1__Deinococcus-Thermus	0.137674962	0.047277762	0.997307204	1
D_0__Archaea;D_1__Euryarchaeota	0.12107105	0.081505157	0.997307204	1
D_0__Bacteria;D_1__Chloroflexi	0.11919684	0.086383513	0.997307204	1
D_0__Bacteria;D_1__PAUC34f	-0.118740665	0.087605543	0.997307204	1
D_0__Bacteria;D_1__Aminicenantes	-0.11758222	0.090770981	0.997307204	1
D_0__Bacteria;D_1__Microgenomates	-0.116090111	0.094981638	0.997307204	1
D_0__Archaea;D_1__Parvarchaeota	0.106576987	0.125579816	1	1
D_0__Bacteria;D_1__Acidobacteria	-0.102734563	0.139905495	1	1
D_0__Bacteria;D_1__Fusobacteria	0.083874998	0.228691908	1	1
D_0__Bacteria;D_1__Lentisphaerae	-0.078215836	0.261789119	1	1
D_0__Bacteria;D_1__Cyanobacteria	0.06617679	0.3426744	1	1
D_0__Bacteria;D_1__SM2F11	-0.063742415	0.360773815	1	1
D_0__Bacteria;D_1__Bacteroidetes	0.062486235	0.370341492	1	1
D_0__Bacteria;D_1__Gracilibacteria	-0.059352465	0.3948816	1	1
D_0__Bacteria;D_1__Chlorobi	0.059072047	0.397123973	1	1
D_0__Bacteria;D_1__Gemmatimonadetes	0.056681752	0.416544941	1	1
D_0__Bacteria;D_1__Chlamydiae	-0.054270874	0.436684042	1	1
D_0__Bacteria;D_1__Fibrobacteres	0.050083742	0.472948117	1	1
D_0__Bacteria;D_1__Omnitrophica	0.048908164	0.483416929	1	1
D_0__Bacteria;D_1__TM6	0.04828337	0.489031146	1	1
D_0__Archaea;D_1__Thaumarchaeota	0.047899471	0.492497925	1	1
D_0__Bacteria;D_1__SHA-109	0.047333673	0.497631023	1	1
D_0__Bacteria;D_1__WCHB1-60	0.045747806	0.512167496	1	1
D_0__Bacteria;D_1__Armatimonadetes	0.045209175	0.517154156	1	1
D_0__Bacteria;D_1__Aerophobetes	-0.044603171	0.522794164	1	1
D_0__Bacteria;D_1__Hydrogenedentes	0.038740125	0.578927554	1	1
