Feature ID	Test stat.	pval	pval_fdr	pval_bon	taxonomy
AJ604544.1.1498	0.357126069	0	0	0	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
HQ120337.1.1406	0.388341067	0	0	0	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
CU923576.1.1371	0.330165106	0	0	0	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
EU133899.1.1370	0.536690975	0	0	0	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
EU135576.1.1284	0.320125295	0	0	0	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
HQ190450.1.1518	0.559472796	0	0	0	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
JQ311891.1.1464	0.379434565	0	0	0	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
JF703389.1.1440	0.362378407	0	0	0	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
HM565063.1.1508	0.341230064	0	0	0	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured Desulfocaldus sp.; D_3__uncultured Desulfocaldus sp.; D_4__uncultured Desulfocaldus sp.; D_5__uncultured Desulfocaldus sp.; D_6__uncultured Desulfocaldus sp.
EF018983.1.1394	0.304343146	1.11E-15	3.25E-14	3.25E-13	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
HQ910326.1.1510	0.303931707	1.33E-15	3.55E-14	3.90E-13	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
HQ190359.1.1508	0.300121929	2.89E-15	7.05E-14	8.46E-13	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
GQ264015.1.1475	0.292872935	1.44E-14	3.25E-13	4.23E-12	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
JX523895.1.1256	0.287094712	5.02E-14	1.05E-12	1.47E-11	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
KM456132.1.1467	0.27444364	6.92E-13	1.35E-11	2.03E-10	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
KC331486.1.1508	0.274017298	7.54E-13	1.38E-11	2.21E-10	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
FM213068.1.1530	0.266018137	3.67E-12	6.33E-11	1.08E-09	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
EF580953.1.1507	0.236797854	7.56E-10	1.23E-08	2.21E-07	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
