OTU	Test-Statistic	P	FDR_P	Bonferroni_P	high_mean	low_mean
D_0__Bacteria;D_1__Bacteroidetes	4.94958795796	0.0260968875295	0.633464159094	0.782906625884	0.0796428571429	0.0994791666667
D_0__Bacteria;D_1__Gemmatimonadetes	3.36132575516	0.0667443155306	0.633464159094	1.0	0.0342857142857	0.0226041666667
D_0__Bacteria;D_1__Omnitrophicaeota	2.58928571429	0.107588845387	0.633464159094	1.0	0.00047619047619	0.000104166666667
D_0__Bacteria;D_1__Patescibacteria	2.1976461039	0.138221665416	0.633464159094	1.0	0.000833333333333	0.0003125
D_0__Bacteria;D_1__Acidobacteria	1.88233120351	0.170069427654	0.633464159094	1.0	0.185952380952	0.179583333333
D_0__Archaea;D_1__Euryarchaeota	1.8125	0.178208622149	0.633464159094	1.0	0.0	0.000208333333333
D_0__Bacteria;D_1__Entotheonellaeota	1.40581717452	0.235752009024	0.633464159094	1.0	0.00488095238095	0.00354166666667
D_0__Bacteria;D_1__Firmicutes	1.26939427419	0.259880344402	0.633464159094	1.0	0.012619047619	0.00958333333333
D_0__Bacteria;D_1__Chloroflexi	1.17263765712	0.278859935128	0.633464159094	1.0	0.0354761904762	0.0298958333333
D_0__Archaea;D_1__Nanoarchaeaeota	1.14285714286	0.285049407403	0.633464159094	1.0	0.000119047619048	0.0
D_0__Bacteria;D_1__Spirochaetes	1.14285714286	0.285049407403	0.633464159094	1.0	0.000119047619048	0.0
D_0__Bacteria;D_1__Verrucomicrobia	1.08030946023	0.298628337953	0.633464159094	1.0	0.110238095238	0.1271875
D_0__Bacteria;D_1__Nitrospirae	1.02691891537	0.310883426006	0.633464159094	1.0	0.00880952380952	0.00677083333333
D_0__Bacteria;D_1__FBP	0.875	0.349574806123	0.633464159094	1.0	0.0	0.000104166666667
D_0__Bacteria;D_1__FCPU426	0.875	0.349574806123	0.633464159094	1.0	0.0	0.000104166666667
D_0__Bacteria;D_1__WPS-2	0.875	0.349574806123	0.633464159094	1.0	0.0	0.000104166666667
D_0__Bacteria;D_1__Chlamydiae	0.841517857143	0.358963023487	0.633464159094	1.0	0.000119047619048	0.0003125
D_0__Bacteria;D_1__Planctomycetes	0.726885318256	0.393894644868	0.656491074779	1.0	0.0544047619048	0.0471875
D_0__Bacteria;D_1__Tenericutes	0.575573979592	0.448052427875	0.707451201907	1.0	0.000357142857143	0.000104166666667
D_0__Bacteria;D_1__Actinobacteria	0.442494754911	0.505920794758	0.711933953535	1.0	0.1275	0.141875
D_0__Bacteria;D_1__Cyanobacteria	0.352430555556	0.552740465833	0.711933953535	1.0	0.00416666666667	0.00447916666667
D_0__Bacteria;D_1__Elusimicrobia	0.329841170136	0.565752627819	0.711933953535	1.0	0.00214285714286	0.00260416666667
D_0__Bacteria;D_1__Latescibacteria	0.295935044442	0.586442077224	0.711933953535	1.0	0.00833333333333	0.00697916666667
D_0__Bacteria;D_1__Rokubacteria	0.293947124304	0.587702152457	0.711933953535	1.0	0.0111904761905	0.00979166666667
D_0__Bacteria;D_1__Armatimonadetes	0.285253631043	0.593278294612	0.711933953535	1.0	0.000952380952381	0.000833333333333
D_0__Bacteria;D_1__BRC1	0.230158730159	0.631406157451	0.72854556629	1.0	0.000119047619048	0.000208333333333
D_0__Bacteria;D_1__Proteobacteria	0.0622396744142	0.802990433436	0.892211592707	1.0	0.2875	0.278125
D_0__Bacteria;D_1__Dependentiae	0.0127551020408	0.910079322618	0.923390594303	1.0	0.00047619047619	0.000416666666667
D_0__Archaea;D_1__Thaumarchaeota	0.010819948104	0.917154286781	0.923390594303	1.0	0.0291666666667	0.0273958333333
D_0__Bacteria;D_1__Fibrobacteres	0.00924744897957	0.923390594303	0.923390594303	1.0	0.000119047619048	0.000104166666667
