# Constructed from biom file																														
#OTUID	515rcbc32	515rcbc25	515rcbc16	515rcbc34	515rcbc29	515rcbc11	515rcbc31	515rcbc33	515rcbc10	515rcbc9	515rcbc8	515rcbc12	515rcbc27	515rcbc19	515rcbc30	515rcbc23	515rcbc22	515rcbc28	515rcbc37	515rcbc17	515rcbc14	515rcbc35	515rcbc18	515rcbc13	515rcbc36	515rcbc15	515rcbc24	515rcbc21	515rcbc26	515rcbc20
D_0__Archaea;D_1__Euryarchaeota	0	0	0	0	0	0	0	0	0	0.001666667	0	0	0	0	0	0	0	0	0	0.001666667	0	0	0	0	0	0	0	0	0	0
D_0__Archaea;D_1__Nanoarchaeaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001666667	0	0	0
D_0__Archaea;D_1__Thaumarchaeota	0.013333333	0.01	0.028333333	0.038333333	0.023333333	0.008333333	0.01	0.023333333	0.015	0.065	0.006666667	0	0.018333333	0.025	0.058333333	0.026666667	0.015	0.063333333	0.023333333	0.038333333	0.041666667	0.031666667	0.03	0.033333333	0.008333333	0.035	0.056666667	0.018333333	0.061666667	0.02
D_0__Bacteria;D_1__Acidobacteria	0.218333333	0.21	0.16	0.178333333	0.163333333	0.161666667	0.201666667	0.136666667	0.205	0.19	0.225	0.195	0.175	0.165	0.17	0.201666667	0.183333333	0.19	0.16	0.165	0.145	0.24	0.221666667	0.176666667	0.048333333	0.175	0.208333333	0.205	0.23	0.171666667
D_0__Bacteria;D_1__Actinobacteria	0.086666667	0.175	0.128333333	0.166666667	0.205	0.101666667	0.088333333	0.156666667	0.126666667	0.13	0.115	0.07	0.148333333	0.091666667	0.136666667	0.125	0.118333333	0.101666667	0.158333333	0.215	0.118333333	0.11	0.16	0.11	0.176666667	0.24	0.163333333	0.073333333	0.1	0.158333333
D_0__Bacteria;D_1__Armatimonadetes	0.003333333	0	0	0.001666667	0	0	0	0.001666667	0	0	0.001666667	0	0	0	0	0	0	0.001666667	0	0	0.003333333	0.003333333	0.001666667	0.005	0	0.001666667	0	0.001666667	0	0
D_0__Bacteria;D_1__BRC1	0	0	0	0	0	0	0.001666667	0	0	0.001666667	0.001666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Bacteroidetes	0.068333333	0.086666667	0.106666667	0.063333333	0.075	0.086666667	0.096666667	0.066666667	0.086666667	0.071666667	0.06	0.22	0.085	0.083333333	0.066666667	0.133333333	0.083333333	0.101666667	0.1	0.056666667	0.12	0.046666667	0.038333333	0.11	0.24	0.065	0.063333333	0.073333333	0.036666667	0.115
D_0__Bacteria;D_1__Chlamydiae	0	0.001666667	0	0	0	0	0	0	0	0.001666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001666667	0	0	0.001666667
D_0__Bacteria;D_1__Chloroflexi	0.015	0.016666667	0.026666667	0.038333333	0.038333333	0.026666667	0.025	0.021666667	0.05	0.036666667	0.025	0.008333333	0.03	0.041666667	0.063333333	0.018333333	0.026666667	0.025	0.035	0.066666667	0.025	0.023333333	0.05	0.023333333	0.016666667	0.065	0.041666667	0.045	0.035	0.015
D_0__Bacteria;D_1__Cyanobacteria	0.001666667	0.005	0.003333333	0	0.008333333	0.001666667	0.005	0.005	0.003333333	0.005	0.001666667	0.006666667	0.011666667	0.01	0.003333333	0.006666667	0.008333333	0.006666667	0.003333333	0.003333333	0.006666667	0	0.001666667	0.001666667	0.003333333	0	0.006666667	0.003333333	0.003333333	0.003333333
D_0__Bacteria;D_1__Dependentiae	0	0	0.001666667	0.003333333	0.001666667	0	0	0	0.001666667	0.001666667	0	0	0	0	0	0	0	0	0	0	0.001666667	0	0	0	0	0	0.001666667	0	0	0
D_0__Bacteria;D_1__Elusimicrobia	0.005	0.006666667	0.001666667	0.003333333	0.001666667	0.005	0.001666667	0.005	0.001666667	0.001666667	0.005	0	0	0.001666667	0	0.001666667	0.005	0.003333333	0.001666667	0.001666667	0.001666667	0.001666667	0.003333333	0.003333333	0.001666667	0.001666667	0.001666667	0.003333333	0	0
D_0__Bacteria;D_1__Entotheonellaeota	0	0	0	0.006666667	0	0	0	0.003333333	0.003333333	0	0	0.001666667	0.005	0.003333333	0.003333333	0.001666667	0.006666667	0.01	0.001666667	0.001666667	0.003333333	0.013333333	0.005	0.008333333	0	0.015	0.006666667	0.01	0.008333333	0.006666667
D_0__Bacteria;D_1__FBP	0	0	0.001666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__FCPU426	0	0	0	0	0	0.001666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Fibrobacteres	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001666667	0	0	0	0	0	0	0	0	0	0	0.001666667	0	0
D_0__Bacteria;D_1__Firmicutes	0.006666667	0.01	0.011666667	0.013333333	0.018333333	0.008333333	0.015	0.015	0.01	0.013333333	0.023333333	0.001666667	0.003333333	0.006666667	0.02	0.006666667	0.001666667	0.016666667	0.006666667	0.021666667	0.003333333	0.031666667	0.013333333	0.005	0.013333333	0.001666667	0.01	0	0.018333333	0.003333333
D_0__Bacteria;D_1__Gemmatimonadetes	0.053333333	0.018333333	0.016666667	0.05	0.028333333	0.016666667	0.033333333	0.016666667	0.056666667	0.028333333	0.065	0.003333333	0.018333333	0.025	0.033333333	0.008333333	0.023333333	0.015	0.013333333	0.021666667	0.02	0.078333333	0.033333333	0.035	0.013333333	0.016666667	0.03	0.013333333	0.025	0.031666667
D_0__Bacteria;D_1__Latescibacteria	0.001666667	0.005	0.001666667	0.01	0.003333333	0.003333333	0	0.011666667	0.015	0.003333333	0.006666667	0.011666667	0.006666667	0.006666667	0.011666667	0.005	0.011666667	0.001666667	0.003333333	0.005	0.013333333	0.001666667	0.01	0.021666667	0	0.006666667	0.006666667	0.01	0.025	0.008333333
D_0__Bacteria;D_1__Nitrospirae	0.016666667	0.008333333	0.006666667	0.015	0.011666667	0.011666667	0.003333333	0.006666667	0.008333333	0.008333333	0.006666667	0	0.003333333	0.01	0.008333333	0	0.008333333	0.006666667	0.006666667	0.006666667	0.006666667	0.011666667	0.011666667	0.013333333	0	0.003333333	0.003333333	0.006666667	0.018333333	0.003333333
D_0__Bacteria;D_1__Omnitrophicaeota	0.001666667	0	0	0	0	0	0.001666667	0	0	0	0.001666667	0	0.001666667	0	0	0	0	0	0	0	0	0	0.001666667	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Patescibacteria	0.003333333	0	0	0.001666667	0	0.001666667	0	0	0.001666667	0	0	0	0	0.001666667	0	0.001666667	0	0	0	0.001666667	0	0	0	0	0	0	0.001666667	0	0.001666667	0
D_0__Bacteria;D_1__Planctomycetes	0.041666667	0.058333333	0.041666667	0.05	0.043333333	0.04	0.036666667	0.056666667	0.051666667	0.038333333	0.026666667	0.035	0.04	0.045	0.051666667	0.056666667	0.041666667	0.073333333	0.053333333	0.045	0.05	0.043333333	0.061666667	0.053333333	0.068333333	0.053333333	0.04	0.098333333	0.076666667	0.045
D_0__Bacteria;D_1__Proteobacteria	0.3	0.188333333	0.275	0.266666667	0.283333333	0.373333333	0.365	0.263333333	0.25	0.25	0.308333333	0.33	0.345	0.351666667	0.251666667	0.268333333	0.276666667	0.225	0.365	0.238333333	0.238333333	0.275	0.238333333	0.298333333	0.358333333	0.226666667	0.236666667	0.28	0.243333333	0.305
D_0__Bacteria;D_1__Rokubacteria	0.003333333	0	0.01	0.015	0.021666667	0.006666667	0.001666667	0.018333333	0.011666667	0.006666667	0.001666667	0.001666667	0.015	0.005	0.01	0.005	0.016666667	0.005	0.001666667	0.011666667	0.005	0.018333333	0.008333333	0.02	0	0.026666667	0.008333333	0.015	0.026666667	0.016666667
