# Constructed from biom file
#OTU ID	515rcbc32	515rcbc25	515rcbc16	515rcbc34	515rcbc29	515rcbc11	515rcbc31	515rcbc33	515rcbc10	515rcbc9	515rcbc8	515rcbc12	515rcbc27	515rcbc19	515rcbc30	515rcbc23	515rcbc22	515rcbc28	515rcbc37	515rcbc17	515rcbc14	515rcbc35	515rcbc18	515rcbc13	515rcbc36	515rcbc15	515rcbc24	515rcbc21	515rcbc26	515rcbc20
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanobacteria;D_3__Methanobacteriales;D_4__Methanobacteriaceae;D_5__Methanosphaera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00166666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Euryarchaeota;D_2__Thermoplasmata;D_3__Marine Group II;D_4__uncultured archaeon;D_5__uncultured archaeon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00166666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Woesearchaeia;D_3__uncultured euryarchaeote;D_4__uncultured euryarchaeote;D_5__uncultured euryarchaeote	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00166666666667	0.0	0.0	0.0
D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrososphaerales;D_4__Nitrososphaeraceae;Ambiguous_taxa	0.00833333333333	0.00833333333333	0.00833333333333	0.015	0.005	0.005	0.005	0.00833333333333	0.005	0.0266666666667	0.00166666666667	0.0	0.01	0.01	0.0183333333333	0.00833333333333	0.01	0.0216666666667	0.01	0.0116666666667	0.0183333333333	0.0133333333333	0.00666666666667	0.015	0.00166666666667	0.0183333333333	0.0216666666667	0.005	0.0216666666667	0.00666666666667
D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrososphaerales;D_4__Nitrososphaeraceae;D_5__Candidatus Nitrocosmicus	0.005	0.00166666666667	0.00833333333333	0.0	0.005	0.00333333333333	0.00333333333333	0.00166666666667	0.00166666666667	0.005	0.00166666666667	0.0	0.00166666666667	0.005	0.00833333333333	0.005	0.0	0.00666666666667	0.01	0.00166666666667	0.0	0.00333333333333	0.0	0.0	0.00666666666667	0.00166666666667	0.00166666666667	0.0	0.0	0.00166666666667
D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrososphaerales;D_4__Nitrososphaeraceae;D_5__Candidatus Nitrososphaera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00166666666667	0.0	0.0	0.0	0.00166666666667	0.0	0.00166666666667	0.0
D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrososphaerales;D_4__Nitrososphaeraceae;D_5__metagenome	0.0	0.0	0.0	0.00166666666667	0.0	0.0	0.0	0.00166666666667	0.0	0.00333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.00166666666667	0.00166666666667	0.0	0.00166666666667	0.00166666666667	0.0	0.0	0.00333333333333	0.0	0.00666666666667	0.005	0.00166666666667	0.005	0.00166666666667
D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrososphaerales;D_4__Nitrososphaeraceae;D_5__uncultured archaeon	0.0	0.0	0.01	0.01	0.0133333333333	0.0	0.00166666666667	0.01	0.005	0.0233333333333	0.0	0.0	0.00166666666667	0.00666666666667	0.02	0.01	0.0	0.03	0.00333333333333	0.0183333333333	0.02	0.0	0.015	0.0116666666667	0.0	0.00166666666667	0.02	0.00833333333333	0.01	0.00333333333333
D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrososphaerales;D_4__Nitrososphaeraceae;D_5__uncultured crenarchaeote	0.0	0.0	0.00166666666667	0.0116666666667	0.0	0.0	0.0	0.00166666666667	0.00333333333333	0.00666666666667	0.0	0.0	0.005	0.00333333333333	0.0116666666667	0.00333333333333	0.00333333333333	0.00333333333333	0.0	0.005	0.00166666666667	0.015	0.00666666666667	0.00333333333333	0.0	0.00666666666667	0.00666666666667	0.00333333333333	0.0233333333333	0.00666666666667
D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrosotaleales;D_4__Nitrosotaleaceae;D_5__Candidatus Nitrosotalea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
